Age,d18Oc
2.002,4.071
2.004,4.025
2.006,3.96
2.008,3.91
2.01,3.94
2.012,3.964
2.014,3.914
2.016,3.838
2.018,3.711
2.02,3.591
2.022,3.545
2.024,3.537
2.026,3.568
2.028,3.633
2.03,3.735
2.032,3.846
2.034,3.961
2.036,4.058
2.038,4.097
2.04,4.08
2.042,3.952
2.044,3.813
2.046,3.746
2.048,3.705
2.05,3.7
2.052,3.708
2.054,3.676
2.056,3.678
2.058,3.805
2.06,3.966
2.062,4.127
2.064,4.279
2.066,4.38
2.068,4.475
2.07,4.537
2.072,4.51
2.074,4.451
2.076,4.388
2.078,4.325
2.08,4.304
2.082,4.289
2.084,4.254
2.086,4.189
2.088,4.062
2.09,3.935
2.092,3.857
2.094,3.785
2.096,3.703
2.098,3.633
2.1,3.557
2.102,3.525
2.104,3.641
2.106,3.779
2.108,3.859
2.11,3.907
2.112,3.875
2.114,3.818
2.116,3.78
2.118,3.756
2.12,3.759
2.122,3.787
2.124,3.882
2.126,3.975
2.128,4.035
2.13,4.04
2.132,3.93
2.134,3.682
2.136,3.432
2.138,3.313
2.14,3.292
2.142,3.452
2.144,3.689
2.146,3.971
2.148,4.247
2.15,4.454
2.152,4.606
2.154,4.637
2.156,4.606
2.158,4.547
2.16,4.478
2.162,4.433
2.164,4.382
2.166,4.326
2.168,4.247
2.17,4.164
2.172,4.096
2.174,4.025
2.176,3.937
2.178,3.852
2.18,3.769
2.182,3.694
2.184,3.66
2.186,3.62
2.188,3.484
2.19,3.403
2.192,3.516
2.194,3.687
2.196,3.945
2.198,4.191
2.2,4.252
2.202,4.249
2.204,4.194
2.206,4.089
2.208,3.961
2.21,3.841
2.212,3.739
2.214,3.693
2.216,3.694
2.218,3.784
2.22,3.87
2.222,3.88
2.224,3.853
2.226,3.715
2.228,3.585
2.23,3.595
2.232,3.671
2.234,3.838
2.236,4.034
2.238,4.222
2.24,4.357
2.242,4.353
2.244,4.273
2.246,4.082
2.248,3.881
2.25,3.793
2.252,3.715
2.254,3.6
2.256,3.505
2.258,3.454
