Age,Temperature,Sea level,,Trend Age,Trend Temperature,Trend Sea level,Trend Temperature (long),Trend Sea level (long)
4.400,2.58,-3.26,,,,,,
4.405,2.44,-9.33,,,,,,
4.410,2.53,-6.07,,,,,,
4.415,2.37,-12.81,,,,,,
4.420,2.63,-2.22,,,,,,
4.425,2.68,-0.30,,,,,,
4.430,2.78,3.63,,,,,,
4.435,2.72,0.89,,,,,,
4.440,2.79,3.48,,,,,,
4.445,2.76,2.07,,,,,,
4.450,2.56,-6.67,,,,,,
4.455,2.69,-1.41,,,,,,
4.460,2.85,5.19,,,,,,
4.465,2.85,5.11,,,,,,
4.470,2.82,3.70,,,,,,
4.475,2.84,4.30,,,,,,
4.480,2.70,-1.78,,,,,,
4.485,2.75,0.15,,,,,,
4.490,2.47,-11.93,,,,,,
4.495,2.48,-12.00,,,,,,
4.500,2.45,-13.41,,,,,,
4.505,2.53,-10.15,,,,,,
4.510,2.76,-0.89,,,,,,
4.515,2.66,-4.96,,,,,,
4.520,2.99,8.30,,,,,,
4.525,2.64,-6.44,,,,,,
4.530,2.60,-8.52,,,,,,
4.535,2.52,-11.93,,,,,,
4.540,2.87,2.67,,,,,,
4.545,2.97,6.59,,,,,,
4.550,2.86,1.85,,,,,,
4.555,2.84,0.44,,,,,,
4.560,2.65,-7.63,,,,,,
4.565,2.80,-1.70,,,,,,
4.570,2.72,-5.11,,,,,,
4.575,2.44,-17.19,,,,,,
4.580,2.52,-13.93,,,,,,
4.585,2.54,-13.33,,,,,,
4.590,2.70,-6.74,,,,,,
4.595,2.71,-6.81,,,,,,
4.600,2.74,-5.56,,,,,,
4.605,2.57,-12.96,,,,,,
4.610,2.49,-16.37,,,,,,
4.615,2.64,-10.44,,,,,,
4.620,2.66,-9.85,,,,,,
4.625,2.71,-7.93,,,,,,
4.630,2.70,-8.67,,,,,,
4.635,2.81,-4.07,,,,,,
4.640,2.82,-4.15,,,,,,
4.645,2.85,-2.89,,,,,,
4.650,2.60,-13.63,,,,,,
4.655,2.54,-16.37,,,,,,
4.660,2.94,0.22,,,,,,
4.665,2.80,-5.85,,,,,,
4.670,2.98,1.41,,,,,,
4.675,2.89,-2.67,,,,,,
4.680,2.99,1.26,,,,,,
4.685,2.67,-12.15,,,,,,
4.690,2.50,-19.56,,,,,,
4.695,2.65,-13.63,,,,,,
4.700,2.57,-17.04,,,,,,
4.705,2.83,-6.44,,,,,,
4.710,2.91,-3.19,,,,,,
4.715,2.74,-10.59,,,,,,
4.720,2.87,-5.33,,,,,,
4.725,2.59,-17.41,,,,,,
4.730,2.58,-18.15,,,,,,
4.735,2.66,-14.89,,,,,,
4.740,2.95,-2.96,,,,,,
4.745,2.87,-6.37,,,,,,
4.750,2.75,-11.78,,,,,,
4.755,3.04,0.15,,,,,,
4.760,2.95,-3.93,,,,,,
4.765,2.83,-9.33,,,,,,
4.770,2.51,-22.74,,,,,,
4.775,2.56,-20.81,,,,,,
4.780,2.84,-9.56,,,,,,
4.785,2.86,-8.96,,,,,,
4.790,2.95,-5.04,,,,,,
4.795,2.91,-7.11,,,,,,
4.800,2.87,-9.19,,,,,,
4.805,2.87,-9.26,,,,,,
4.810,2.62,-20.00,,,,,,
4.815,2.62,-20.07,,,,,,
4.820,2.82,-12.15,,,,,,
4.825,3.14,1.11,,,,,,
4.830,3.11,-0.30,,,,,,
4.835,2.94,-7.70,,,,,,
4.840,2.81,-13.11,,,,,,
4.845,2.50,-26.52,,,,,,
4.850,2.41,-30.59,,,,,,
4.855,2.76,-16.00,,,,,,
4.860,2.80,-14.74,,,,,,
4.865,2.93,-9.48,,,,,,
4.870,3.09,-2.89,,,,,,
4.875,3.13,-1.63,,,,,,
4.880,3.05,-5.04,,,,,,
4.885,2.62,-23.11,,,,,,
4.890,2.49,-29.19,,,,,,
4.895,2.44,-31.26,,,,,,
4.900,2.68,-21.33,,,,,,
4.905,2.88,-13.41,,,,,,
4.910,3.17,-1.48,,,,,,
4.915,3.17,-1.56,,,,,,
4.920,3.00,-8.96,,,,,,
4.925,3.30,3.63,,,,,,
4.930,3.08,-5.78,,,,,,
4.935,2.90,-13.85,,,,,,
4.940,2.84,-16.59,,,,,,
4.945,2.90,-14.00,,,,,,
4.950,2.88,-15.41,,,,,,
4.955,3.21,-1.48,,,,,,
4.960,3.19,-2.89,,,,,,
4.965,3.11,-6.30,,,,,,
4.970,3.08,-7.70,,,,,,
4.975,3.07,-8.44,,,,,,
4.980,2.71,-23.85,,,,,,
4.985,3.06,-9.26,,,,,,
4.990,3.40,4.67,,,,,,
4.995,3.23,-2.74,,,,,,
5.000,3.32,1.19,,,,,,
5.005,3.07,-9.56,,,,,,
5.010,3.09,-8.96,,,,,,
5.015,3.21,-4.37,,,,,,
5.020,3.42,4.22,,,,,,
5.025,3.42,4.15,,,,,,
5.030,3.38,2.07,,,,,,
5.035,3.35,0.67,,,,,,
5.040,2.92,-17.41,,,,,,
5.045,2.75,-24.81,,,,,,
5.050,2.96,-16.22,,,,,,
5.055,2.93,-17.63,,,,,,
5.060,3.27,-3.70,,,,,,
5.065,3.20,-7.11,,,,,,
5.070,3.15,-9.19,,,,,,
5.075,3.54,6.74,,,,,,
5.080,3.40,0.67,,,,,,
5.085,3.35,-1.41,,,,,,
5.090,3.59,8.52,,,,,,
5.095,3.25,-6.22,,,,,,
5.100,3.06,-14.30,,,,,,
5.105,3.00,-17.04,,,,,,
5.110,3.20,-9.11,,,,,,
5.115,3.29,-5.19,,,,,,
5.120,3.39,-1.26,,,,,,
5.125,3.52,4.00,,,,,,
5.130,3.59,6.59,,,,,,
5.135,3.64,8.52,,,,,,
5.140,3.19,-10.89,,,,,,
5.145,3.25,-8.30,,,,,,
5.150,3.27,-7.70,,,,,,
5.155,3.24,-9.11,,,,,,
5.160,3.39,-3.19,,,,,,
