Age,SLice,SLice max,SLice min,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),Temperature (long),Temperature max (long),Temperature min (long)
44.8,40.14,40.14,28.21,10.40,11.89,8.26,46.49,46.25,37.10,10.43,11.91,8.29
44.9,42.39,42.39,31.59,10.13,11.63,7.99,46.16,45.76,36.40,10.52,12.02,8.38
45.0,44.61,44.61,34.92,10.01,11.51,7.86,45.85,45.31,35.77,10.61,12.12,8.48
45.1,46.23,46.23,37.35,10.01,11.51,7.86,45.59,44.93,35.23,10.70,12.22,8.57
45.2,46.80,46.80,38.20,10.10,11.61,7.95,45.38,44.63,34.82,10.79,12.32,8.66
45.3,46.14,46.14,37.20,10.27,11.78,8.12,45.24,44.42,34.54,10.88,12.41,8.74
45.4,44.37,44.37,34.55,10.50,12.01,8.34,45.15,44.32,34.42,10.96,12.49,8.82
45.5,41.91,41.91,30.87,10.75,12.27,8.58,45.14,44.34,34.46,11.03,12.57,8.89
45.6,39.37,39.37,27.05,11.03,12.55,8.86,45.21,44.46,34.67,11.11,12.64,8.95
45.7,37.31,37.31,23.96,11.36,12.88,9.18,45.34,44.70,35.03,11.18,12.70,9.01
45.8,36.17,36.17,22.25,11.71,13.24,9.53,45.55,45.02,35.53,11.25,12.77,9.06
45.9,36.17,36.17,22.25,12.07,13.60,9.89,45.83,45.42,36.13,11.32,12.84,9.12
46.0,37.31,37.31,23.97,12.30,13.83,10.11,46.18,45.88,36.82,11.39,12.91,9.19
46.1,39.41,39.41,27.11,12.25,13.78,10.05,46.59,46.36,37.55,11.46,12.99,9.26
46.2,42.13,42.13,31.20,12.07,13.61,9.87,47.05,46.88,38.31,11.54,13.07,9.33
46.3,45.13,45.13,35.70,11.88,13.43,9.68,47.55,47.40,39.11,11.62,13.16,9.41
46.4,48.09,48.09,40.13,11.71,13.26,9.50,48.09,47.95,39.92,11.70,13.25,9.50
46.5,50.77,50.77,44.15,11.63,13.18,9.41,48.64,48.52,40.77,11.78,13.35,9.58
46.6,53.01,53.01,47.52,11.57,13.12,9.35,49.22,49.11,41.65,11.86,13.43,9.66
46.7,54.70,54.70,50.04,11.55,13.11,9.33,49.80,49.73,42.57,11.93,13.52,9.74
46.8,55.77,55.77,51.66,11.56,13.12,9.34,50.38,50.37,43.51,12.00,13.59,9.80
46.9,56.31,56.31,52.47,11.61,13.17,9.38,50.96,51.02,44.49,12.07,13.66,9.86
47.0,56.49,56.49,52.73,11.69,13.25,9.45,51.54,51.69,45.47,12.13,13.71,9.91
47.1,56.48,56.48,52.72,11.81,13.38,9.57,52.11,52.35,46.46,12.18,13.77,9.95
47.2,56.39,56.39,52.59,12.01,13.59,9.77,52.66,53.00,47.43,12.24,13.82,9.99
