Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Uvigerina peregrina,17.3,1.03,0.96,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.3,1.03,1.35,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,17.1,1.01,0.42,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.1,1.01,1.37,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,14.5,0.85,0.88,Marchitto et al. (2014),benthic
Planulina foveolata,14.5,0.85,0.80,Marchitto et al. (2014),benthic
Uvigerina peregrina,14.5,0.85,1.25,Marchitto et al. (2014),benthic
Hoeglundina elegans,14.5,0.85,2.00,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,11.9,0.56,1.16,Marchitto et al. (2014),benthic
Uvigerina peregrina,11.9,0.56,1.52,Marchitto et al. (2014),benthic
Hoeglundina elegans,11.9,0.56,2.05,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,10.6,0.46,1.12,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,9.4,0.37,1.53,Marchitto et al. (2014),benthic
Planulina ariminensis,9.4,0.37,1.57,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,17.2,1.02,0.66,Marchitto et al. (2014),benthic
Planulina foveolata,17.2,1.02,0.27,Marchitto et al. (2014),benthic
Uvigerina peregrina,17.2,1.02,1.08,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.2,1.02,1.52,Marchitto et al. (2014),benthic
Cibicidoides pachyderma,16.8,0.98,0.74,Marchitto et al. (2014),benthic
Planulina foveolata,16.8,0.98,0.74,Marchitto et al. (2014),benthic
Uvigerina peregrina,16.8,0.98,1.16,Marchitto et al. (2014),benthic
Hoeglundina elegans,16.8,0.98,1.77,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.30,0.32,3.76,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.80,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.90,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.66,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.72,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.36,0.34,3.63,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.23,0.31,3.85,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.74,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.66,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.70,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.92,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.86,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.68,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.80,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.31,0.32,3.69,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.35,0.36,3.64,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.43,0.34,3.71,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.38,0.32,3.69,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.41,0.34,3.83,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.41,0.33,3.77,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.41,0.34,3.73,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.39,0.34,3.70,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.39,0.36,3.74,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.40,0.36,3.76,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.43,0.36,3.73,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.63,0.33,3.66,Marchitto et al. (2014),benthic
Cibicidoides wuellerstorfi,-0.64,0.33,3.76,Marchitto et al. (2014),benthic
Hoeglundina elegans,25.6,1.12,-0.71,Marchitto et al. (2014),benthic
Hoeglundina elegans,23.2,1.25,0.62,Marchitto et al. (2014),benthic
Hoeglundina elegans,21.8,1.25,0.76,Marchitto et al. (2014),benthic
Hoeglundina elegans,20.8,1.25,0.9,Marchitto et al. (2014),benthic
Hoeglundina elegans,20.5,1.24,1.02,Marchitto et al. (2014),benthic
Hoeglundina elegans,18.6,1.14,1.28,Marchitto et al. (2014),benthic
Hoeglundina elegans,18.6,1.14,1.39,Marchitto et al. (2014),benthic
Hoeglundina elegans,18.2,1.12,1.3,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.9,1.09,1.30,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.7,1.08,1.46,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.7,1.07,1.36,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.2,1.03,1.26,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.1,1.02,1.41,Marchitto et al. (2014),benthic
Hoeglundina elegans,17.0,1.02,1.51,Marchitto et al. (2014),benthic
Hoeglundina elegans,16.9,1.01,1.51,Marchitto et al. (2014),benthic
Hoeglundina elegans,16.8,1.00,1.42,Marchitto et al. (2014),benthic
Hoeglundina elegans,16.3,0.95,1.49,Marchitto et al. (2014),benthic
Hoeglundina elegans,16.1,0.94,1.35,Marchitto et al. (2014),benthic
Hoeglundina elegans,15.9,0.92,1.60,Marchitto et al. (2014),benthic
Hoeglundina elegans,15.6,0.90,1.64,Marchitto et al. (2014),benthic
Hoeglundina elegans,12.7,0.65,1.92,Marchitto et al. (2014),benthic
Hoeglundina elegans,12.7,0.65,2.18,Marchitto et al. (2014),benthic
Hoeglundina elegans,11.7,0.57,2.53,Marchitto et al. (2014),benthic
Hoeglundina elegans,10.0,0.46,2.62,Marchitto et al. (2014),benthic
Hoeglundina elegans,9.8,0.45,2.51,Marchitto et al. (2014),benthic
Hoeglundina elegans,8.4,0.37,2.96,Marchitto et al. (2014),benthic
Hoeglundina elegans,8.1,0.36,2.82,Marchitto et al. (2014),benthic
Hoeglundina elegans,7.6,0.36,3.24,Marchitto et al. (2014),benthic
Hoeglundina elegans,7.6,0.36,3.09,Marchitto et al. (2014),benthic
Hoeglundina elegans,7.0,0.35,3.46,Marchitto et al. (2014),benthic
Hoeglundina elegans,6.1,0.33,3.38,Marchitto et al. (2014),benthic
Hoeglundina elegans,5.5,0.31,3.44,Marchitto et al. (2014),benthic
Hoeglundina elegans,5.3,0.31,3.46,Marchitto et al. (2014),benthic
Hoeglundina elegans,4.9,0.30,3.51,Marchitto et al. (2014),benthic
Hoeglundina elegans,4.8,0.30,3.52,Marchitto et al. (2014),benthic
Hoeglundina elegans,4.4,0.29,3.54,Marchitto et al. (2014),benthic
Hoeglundina elegans,4.3,0.28,3.63,Marchitto et al. (2014),benthic
Hoeglundina elegans,4.2,0.28,3.64,Marchitto et al. (2014),benthic
Hoeglundina elegans,4.1,0.28,3.78,Marchitto et al. (2014),benthic
Uvigerina,2.28,-0.19,2.95,Keigwin (1998),benthic
Uvigerina,2.31,-0.17,3.33,Keigwin (1998),benthic
Cibicidoides,2.31,-0.17,2.71,Keigwin (1998),benthic
Uvigerina,2.27,-0.13,3.25,Keigwin (1998),benthic
Uvigerina,2.13,-0.1,3.15,Keigwin (1998),benthic
Uvigerina,2.10,-0.09,3.16,Keigwin (1998),benthic
Uvigerina,2.08,-0.08,3.19,Keigwin (1998),benthic
Uvigerina,1.97,-0.07,3.21,Keigwin (1998),benthic
Uvigerina,1.74,-0.04,3.21,Keigwin (1998),benthic
Cibicidoides,1.74,-0.04,2.91,Keigwin (1998),benthic
Uvigerina,1.72,-0.04,3.25,Keigwin (1998),benthic
Cibicidoides,1.72,-0.04,3.04,Keigwin (1998),benthic
Uvigerina,1.50,-0.02,3.31,Keigwin (1998),benthic
Cibicidoides,1.50,-0.02,3.01,Keigwin (1998),benthic
Uvigerina,1.50,-0.02,3.13,Keigwin (1998),benthic
Cibicidoides,1.50,-0.02,2.83,Keigwin (1998),benthic
Uvigerina,1.50,-0.02,3.68,Keigwin (1998),benthic
Uvigerina,1.69,-0.03,3.26,Keigwin (1998),benthic
Cibicidoides,1.69,-0.03,3.07,Keigwin (1998),benthic
Uvigerina,1.66,-0.02,3.24,Keigwin (1998),benthic
Cibicidoides,1.66,-0.02,2.78,Keigwin (1998),benthic
Uvigerina,1.64,-0.02,3.22,Keigwin (1998),benthic
Cibicidoides,1.64,-0.02,2.91,Keigwin (1998),benthic
Uvigerina,1.62,-0.02,3.31,Keigwin (1998),benthic
Uvigerina,1.59,-0.02,3.36,Keigwin (1998),benthic
Cibicidoides,1.59,-0.02,2.94,Keigwin (1998),benthic
Uvigerina,1.57,-0.02,3.07,Keigwin (1998),benthic
Cibicidoides,1.57,-0.02,3.05,Keigwin (1998),benthic
Uvigerina,1.57,-0.04,3.26,Keigwin (1998),benthic
