Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Ref
0066,Globigerina bulloides,planktic,,36.69,12.28,(0-300),,,1.070,0.100,,,,,17.05,2.69,17.05,2.69,,,16.22,2.34,16.22,2.34,Globigerina bulloides,15.46,0.70,15.60,0.70,16.85,0.69,15.05,0.64,,,Waelbroeck et al (2005)
0067,Globigerina bulloides,planktic,,43.50,-29.87,(0-300),,,0.200,0.100,,,,,14.83,1.63,13.79,1.70,,,13.42,1.59,13.42,1.59,Globigerina bulloides,15.60,0.67,15.50,0.67,16.99,0.66,15.18,0.61,,,Waelbroeck et al (2005)
0068,Globigerina bulloides,planktic,,45.75,-3.95,(0-300),,,1.470,0.100,,,,,12.55,1.53,12.03,1.30,,,12.19,1.86,12.19,1.86,Globigerina bulloides,10.02,0.64,10.02,0.64,11.37,0.63,9.95,0.59,discordant,,Waelbroeck et al (2005)
0069,Globigerina bulloides,planktic,,52.71,-36.09,(0-300),,,1.680,0.100,,,,,6.42,1.49,5.69,1.41,,,6.90,1.80,6.90,1.80,Globigerina bulloides,6.64,0.76,6.73,0.72,7.95,0.75,6.77,0.70,,,Waelbroeck et al (2005)
0070,Globigerina bulloides,planktic,,54.64,-16.36,(0-300),,,0.920,0.100,,,,,10.84,0.89,10.42,0.87,,,10.06,1.27,10.06,1.27,Globigerina bulloides,10.78,0.71,11.00,0.75,12.13,0.70,10.66,0.66,,,Waelbroeck et al (2005)
0071,Globigerina bulloides,planktic,,41.76,-47.35,(0-300),,,1.130,0.100,,,,,13.17,2.30,11.59,2.76,,,13.32,2.20,13.32,2.20,Globigerina bulloides,10.96,0.78,10.78,0.78,12.31,0.78,10.83,0.72,,,Waelbroeck et al (2005)
0072,Globigerina bulloides,planktic,,52.50,-22.07,(0-300),,,1.310,0.100,,,,,10.55,0.98,9.91,1.19,,,10.46,1.30,10.46,1.30,Globigerina bulloides,9.14,0.70,9.23,0.70,10.47,0.70,9.12,0.65,,,Waelbroeck et al (2005)
0073,Globigerina bulloides,planktic,,50.69,-21.87,(0-300),,,0.940,0.100,,,,,11.19,0.86,10.52,1.12,,,10.86,1.43,10.86,1.43,Globigerina bulloides,11.14,0.68,11.18,0.68,12.49,0.67,11.00,0.63,,,Waelbroeck et al (2005)
0074,Globigerina bulloides,planktic,,58.00,-16.51,(0-300),,,1.540,0.100,,,,,9.76,0.73,9.40,0.66,,,9.24,1.19,9.24,1.19,Globigerina bulloides,7.86,0.66,7.99,0.70,9.18,0.66,7.92,0.61,,,Waelbroeck et al (2005)
0075,Globigerina bulloides,planktic,,33.01,-119.06,(0-300),,,-0.120,0.100,,,,,10.11,2.38,9.11,2.45,,,10.75,3.01,10.75,3.01,Globigerina bulloides,12.99,0.72,13.26,0.80,14.36,0.72,12.73,0.67,,,Waelbroeck et al (2005)
0076,Globigerina bulloides,planktic,,31.87,-118.12,(0-300),,,-1.205,0.100,,,,,10.52,2.73,9.39,2.79,,,11.35,3.12,11.35,3.12,Globigerina bulloides,18.10,0.75,18.38,0.82,19.52,0.74,17.52,0.69,,,Waelbroeck et al (2005)
0077,Globigerina bulloides,planktic,,31.47,-118.42,(0-300),,,0.010,0.100,,,,,10.70,2.90,9.51,2.98,,,11.35,3.12,11.35,3.12,Globigerina bulloides,12.49,0.72,12.76,0.79,13.85,0.71,12.26,0.66,,,Waelbroeck et al (2005)
0078,Globigerina bulloides,planktic,,32.80,-119.86,(0-300),,,0.490,0.100,,,,,10.20,2.47,9.13,2.57,,,10.75,3.01,10.75,3.01,Globigerina bulloides,10.24,0.71,10.51,0.78,11.59,0.70,10.16,0.65,,,Waelbroeck et al (2005)
0079,Globigerina bulloides,planktic,,-45.52,174.95,(0-300),,,1.590,0.100,,,,,8.62,1.64,7.90,1.50,,,9.63,1.37,9.63,1.37,Globigerina bulloides,5.86,0.62,5.95,0.66,7.17,0.62,6.04,0.57,discordant,,Waelbroeck et al (2005)
0080,Globigerina bulloides,planktic,,70.00,3.99,(0-300),,,2.100,0.100,,,,,5.97,1.00,5.59,0.94,,,3.91,1.29,3.91,1.29,Globigerina bulloides,5.52,0.62,5.48,0.62,6.82,0.61,5.72,0.57,,,Waelbroeck et al (2005)
0081,Globigerina bulloides,planktic,,22.50,-17.22,(0-300),,,-0.100,0.100,,,,,18.99,1.04,18.99,1.04,,,17.32,2.39,17.32,2.39,Globigerina bulloides,17.74,0.75,17.36,0.86,19.16,0.74,17.19,0.69,,,Waelbroeck et al (2005)
0082,Globigerina bulloides,planktic,,22.71,-17.16,(0-300),,,-0.220,0.100,,,,,18.31,1.19,18.31,1.19,,,17.32,2.39,17.32,2.39,Globigerina bulloides,18.30,0.75,17.93,0.86,19.73,0.74,17.72,0.69,,,Waelbroeck et al (2005)
