Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
1194,Globigerinoides ruber white,,38.10,17.29,(0-120),17.12,3.13,
1195,Globigerinoides ruber white,,32.23,33.75,(0-120),19.00,2.68,
1196,Globigerinoides ruber white,,41.50,17.97,(0-120),15.46,2.58,
1197,Globigerinoides ruber white,,41.28,17.62,(0-120),15.33,2.54,
1198,Globigerinoides ruber white,,2.15,76.36,(0-120),26.02,3.49,
1199,Globigerinoides ruber white,,5.06,73.88,(0-120),26.08,3.46,
1200,Globigerinoides ruber white,,2.09,76.12,(0-120),26.21,3.45,
1201,Globigerinoides ruber white,,46.80,-8.67,(0-120),13.03,1.65,
1202,Globigerinoides ruber white,,37.75,-20.19,(0-120),17.20,2.03,
1203,Globigerinoides ruber white,,-9.91,144.66,(0-120),25.99,1.40,
1204,Globigerinoides ruber white,,12.68,119.45,(0-120),25.77,3.10,
1205,Globigerinoides ruber white,,-7.61,-167.96,(0-120),28.95,0.55,discordant
1206,Globigerinoides ruber white,,6.64,-21.90,(0-120),21.87,5.03,
1207,Globigerinoides ruber white,,-8.52,128.15,(0-120),25.91,2.59,
1208,Globigerinoides ruber white,,40.60,5.29,(0-120),15.43,3.09,
1209,Globigerinoides ruber white,,36.79,0.48,(0-120),16.05,2.76,
1210,Globigerinoides ruber white,,35.33,-8.02,(0-120),17.74,1.81,
1211,Globigerinoides ruber white,,1.13,129.79,(0-120),27.56,1.90,
1212,Globigerinoides ruber white,,-40.81,13.72,(0-120),13.47,1.07,
1213,Globigerinoides ruber white,,-40.81,13.72,(0-120),13.47,1.07,
1214,Globigerinoides ruber white,,-40.81,13.72,(0-120),13.47,1.07,discordant
1215,Globigerinoides ruber white,,-40.81,13.72,(0-120),13.47,1.07,
1216,Globigerinoides ruber white,,2.46,-19.76,(0-120),22.70,4.91,
1217,Globigerinoides ruber white,,5.26,-21.71,(0-120),23.03,4.97,
1218,Globigerinoides ruber white,,18.43,-21.08,(0-120),19.70,2.65,
1219,Globigerinoides ruber white,,-2.48,-82.99,(0-120),18.20,2.72,
1220,Globigerinoides ruber white,,-2.32,-86.24,(0-120),18.00,3.04,
1221,Globigerinoides ruber white,,-2.24,-86.58,(0-120),18.28,3.20,
1222,Globigerinoides ruber white,,2.26,-90.95,(0-120),20.23,4.50,
1223,Globigerinoides ruber white,,-41.13,13.48,(0-120),13.06,1.06,
1224,Globigerinoides ruber white,,-41.13,13.48,(0-120),13.06,1.06,discordant
1225,Globigerinoides ruber white,,4.87,-43.20,(0-120),26.14,2.47,
1226,Globigerinoides ruber white,,2.81,-89.85,(0-120),20.60,4.76,
1227,Globigerinoides ruber white,,0.32,159.36,(0-120),28.59,1.36,
1228,Globigerinoides ruber white,,31.90,-64.30,(0-120),21.70,2.34,
1229,Globigerinoides ruber white,,-0.01,159.37,(0-120),28.64,1.34,
1230,Globigerinoides ruber white,,-0.99,157.84,(0-120),28.70,1.26,
1231,Globigerinoides ruber white,,-2.21,156.97,(0-120),28.95,0.99,
1232,Globigerinoides ruber white,,16.52,-74.81,(0-120),27.51,0.77,
1233,Globigerinoides ruber white,,4.76,-43.31,(0-120),26.26,2.36,
1234,Globigerinoides ruber white,,4.34,-43.49,(0-120),26.50,2.07,
1235,Globigerinoides ruber white,,4.34,-43.41,(0-120),26.41,2.19,
1236,Globigerinoides ruber white,,4.36,-43.70,(0-120),26.49,2.15,
1237,Globigerinoides ruber white,,4.56,-43.38,(0-120),26.33,2.25,
1238,Globigerinoides ruber white,,17.25,119.45,(0-120),24.14,3.36,
1239,Globigerinoides ruber white,,18.27,119.72,(0-120),23.69,3.64,
1240,Globigerinoides ruber white,,16.09,112.90,(0-120),23.74,3.38,
1241,Globigerinoides ruber white,,14.73,111.53,(0-120),23.22,3.73,
