Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
0220,Globigerina bulloides,,57.93,-29.13,(0-500),7.78,1.01,
0221,Globigerina bulloides,,57.03,-10.06,(0-500),10.13,0.75,
0222,Globigerina bulloides,,56.36,-27.81,(0-500),7.54,1.32,
0223,Globigerina bulloides,,55.50,-14.50,(0-500),10.21,0.69,
0224,Globigerina bulloides,,52.70,-35.94,(0-500),5.76,1.43,
0225,Globigerina bulloides,,41.76,-47.35,(0-500),11.59,2.76,
0226,Globigerina bulloides,,40.58,-10.33,(0-500),12.89,1.62,
0227,Globigerina bulloides,,40.50,-32.00,(0-500),14.72,1.93,
0228,Globigerina bulloides,,-35.97,80.93,(0-500),12.55,1.50,
0229,Globigerina bulloides,,-37.32,78.48,(0-500),12.54,1.22,
0230,Globigerina bulloides,,-38.51,-54.20,(0-500),7.73,2.71,
0231,Globigerina bulloides,,-41.54,-57.06,(0-500),5.08,2.03,
0232,Globigerina bulloides,,-43.50,79.84,(0-500),10.63,1.15,
0233,Globigerina bulloides,,50.15,-27.03,(0-500),10.20,1.51,
0234,Globigerina bulloides,,-43.67,-59.33,(0-500),5.11,1.75,discordant
0235,Globigerina bulloides,,46.88,-25.35,(0-500),12.04,1.28,
0236,Globigerina bulloides,,42.25,-25.67,(0-500),13.44,1.73,
0237,Globigerina bulloides,,42.87,-25.26,(0-500),13.33,1.61,
0238,Globigerina bulloides,,44.14,-24.92,(0-500),13.32,1.52,
0239,Globigerina bulloides,,45.40,-25.43,(0-500),12.75,1.40,
0240,Globigerina bulloides,,48.39,-25.13,(0-500),11.52,1.25,
0241,Globigerina bulloides,,50.54,-26.55,(0-500),10.01,1.64,
0242,Globigerina bulloides,,51.41,-25.76,(0-500),9.60,1.59,
0243,Globigerina bulloides,,53.59,-27.12,(0-500),7.70,1.79,
0244,Globigerina bulloides,,55.01,-28.27,(0-500),7.10,1.68,
0245,Globigerina bulloides,,56.44,-27.80,(0-500),7.60,1.33,
0246,Globigerina bulloides,,57.90,-25.96,(0-500),8.05,1.00,
0247,Globigerina bulloides,,59.71,-27.36,(0-500),7.94,0.80,
0248,Globigerina bulloides,,30.48,-36.95,(0-500),18.09,2.49,
0249,Globigerina bulloides,,31.43,-36.25,(0-500),17.86,2.46,
0250,Globigerina bulloides,,32.77,-34.70,(0-500),17.38,2.38,
0251,Globigerina bulloides,,35.57,-32.55,(0-500),15.32,2.69,
0252,Globigerina bulloides,,37.12,-30.03,(0-500),14.75,2.44,
0253,Globigerina bulloides,,40.80,-27.45,(0-500),13.80,1.92,
0254,Globigerina bulloides,,43.92,-24.97,(0-500),13.30,1.48,
0255,Globigerina bulloides,,-3.83,101.23,(0-500),19.32,7.45,
0256,Globigerina bulloides,,-44.15,-14.23,(0-500),6.02,1.67,
0257,Globigerina bulloides,,-45.58,86.53,(0-500),9.21,0.95,
0258,Globigerina bulloides,,-9.65,118.15,(0-500),14.44,6.65,
0259,Globigerina bulloides,,-9.54,118.30,(0-500),14.28,6.52,
0260,Globigerina bulloides,,-9.22,118.89,(0-500),15.94,6.81,
0261,Globigerina bulloides,,-9.73,113.02,(0-500),14.06,6.41,
0262,Globigerina bulloides,,-8.78,110.50,(0-500),13.73,6.07,
0263,Globigerina bulloides,,-8.78,110.50,(0-500),13.73,6.07,
0264,Globigerina bulloides,,-8.68,112.87,(0-500),13.93,6.45,
0265,Globigerina bulloides,,-8.68,112.64,(0-500),13.86,6.37,
0266,Globigerina bulloides,,-7.11,104.64,(0-500),14.73,6.57,
0267,Globigerina bulloides,,-6.48,102.86,(0-500),14.86,6.74,
0268,Globigerina bulloides,,-6.27,103.01,(0-500),14.81,6.71,
0269,Globigerina bulloides,,-5.94,103.25,(0-500),15.06,6.86,
0270,Globigerina bulloides,,-5.87,103.29,(0-500),15.14,6.86,
0271,Globigerina bulloides,,-5.48,103.01,(0-500),15.28,6.97,
0273,Globigerina bulloides,,-4.70,101.96,(0-500),15.83,7.25,
0274,Globigerina bulloides,,-4.16,101.50,(0-500),27.59,3.03,
0275,Globigerina bulloides,,-9.60,120.92,(0-500),14.39,6.67,
0276,Globigerina bulloides,,-44.68,80.39,(0-500),9.10,1.24,
0277,Globigerina bulloides,,-9.60,121.15,(0-500),14.48,6.72,
0278,Globigerina bulloides,,42.00,-32.67,(0-500),14.34,1.77,
0279,Globigerina bulloides,,-46.03,96.48,(0-500),6.41,1.21,
0280,Globigerina bulloides,,-46.37,7.04,(0-500),4.36,1.09,
0281,Globigerina bulloides,,-46.47,88.02,(0-500),8.29,0.90,
0282,Globigerina bulloides,,-48.39,-56.93,(0-500),4.67,1.29,discordant
0283,Globigerina bulloides,,-48.88,115.67,(0-500),6.37,0.81,
0284,Globigerina bulloides,,-48.89,65.96,(0-500),2.85,1.04,
0285,Globigerina bulloides,,-48.96,65.93,(0-500),2.82,0.97,discordant
0286,Globigerina bulloides,,-53.22,-50.10,(0-500),3.87,0.78,
0287,Globigerina bulloides,,-54.25,-40.48,(0-500),2.12,0.50,discordant
0288,Globigerina bulloides,,47.45,-8.53,(0-500),11.76,1.02,
0289,Globigerina bulloides,,55.06,-20.44,(0-500),9.83,0.97,
0290,Globigerina bulloides,,54.38,-16.21,(0-500),10.48,0.88,
0291,Globigerina bulloides,,55.60,-14.48,(0-500),10.19,0.73,
0292,Globigerina bulloides,,58.08,-10.72,(0-500),9.81,0.70,
0293,Globigerina bulloides,,53.02,-33.31,(0-500),6.22,1.55,
0294,Globigerina bulloides,,52.28,-35.25,(0-500),5.99,1.57,
0295,Globigerina bulloides,,43.83,-30.58,(0-500),13.68,1.63,
0296,Globigerina bulloides,,40.57,-30.95,(0-500),14.45,1.94,
0297,Globigerina bulloides,,33.47,-12.76,(0-500),15.17,2.58,
0298,Globigerina bulloides,,25.40,-16.25,(0-500),15.80,2.93,
0299,Globigerina bulloides,,66.90,8.04,(0-500),7.17,1.30,
0300,Globigerina bulloides,,-45.77,-57.94,(0-500),4.67,2.31,
0301,Globigerina bulloides,,-45.77,-57.94,(0-500),4.67,2.31,
0302,Globigerina bulloides,,-45.77,-57.94,(0-500),4.67,2.31,
0303,Globigerina bulloides,,-45.77,-57.94,(0-500),4.67,2.31,
0304,Globigerina bulloides,,-50.00,0.06,(0-500),2.60,0.70,discordant
0305,Globigerina bulloides,,-50.00,0.06,(0-500),2.60,0.70,discordant
0306,Globigerina bulloides,,-50.00,0.06,(0-500),2.60,0.70,discordant
0307,Globigerina bulloides,,-50.00,0.06,(0-500),2.60,0.70,discordant
0308,Globigerina bulloides,,-47.40,0.29,(0-500),3.93,1.08,
0309,Globigerina bulloides,,-47.40,0.29,(0-500),3.93,1.08,
0310,Globigerina bulloides,,-47.40,0.29,(0-500),3.93,1.08,
0311,Globigerina bulloides,,-47.40,0.29,(0-500),3.93,1.08,discordant
0312,Globigerina bulloides,,-46.77,0.63,(0-500),4.19,1.28,
0313,Globigerina bulloides,,-46.77,0.63,(0-500),4.19,1.28,
0314,Globigerina bulloides,,-46.77,0.63,(0-500),4.19,1.28,
0315,Globigerina bulloides,,-45.50,1.25,(0-500),5.32,1.28,
0316,Globigerina bulloides,,-45.50,1.25,(0-500),5.32,1.28,
0317,Globigerina bulloides,,-45.77,-57.94,(0-500),4.67,2.31,
0318,Globigerina bulloides,,-45.50,1.25,(0-500),5.32,1.28,
0319,Globigerina bulloides,,-57.15,-53.99,(0-500),2.15,0.65,
0320,Globigerina bulloides,,-56.03,-56.94,(0-500),4.02,0.66,
0321,Globigerina bulloides,,-53.74,-58.90,(0-500),5.45,0.97,discordant
0322,Globigerina bulloides,,-53.76,-58.89,(0-500),5.40,0.96,
0323,Globigerina bulloides,,-53.76,-58.89,(0-500),5.40,0.96,
0324,Globigerina bulloides,,-53.76,-58.89,(0-500),5.40,0.96,
0325,Globigerina bulloides,,-53.76,-58.89,(0-500),5.40,0.96,discordant
0326,Globigerina bulloides,,-55.16,-58.09,(0-500),4.85,0.69,
0327,Globigerina bulloides,,-55.16,-58.09,(0-500),4.85,0.69,
0328,Globigerina bulloides,,-55.16,-58.09,(0-500),4.85,0.69,
0329,Globigerina bulloides,,-55.16,-58.09,(0-500),4.85,0.69,discordant
0330,Globigerina bulloides,,-55.16,-58.09,(0-500),4.85,0.69,discordant
0331,Globigerina bulloides,,-55.26,-57.98,(0-500),4.76,0.69,
0332,Globigerina bulloides,,-55.26,-57.98,(0-500),4.76,0.69,discordant
0333,Globigerina bulloides,,-55.26,-57.98,(0-500),4.76,0.69,discordant
0334,Globigerina bulloides,,-55.26,-57.98,(0-500),4.76,0.69,discordant
0335,Globigerina bulloides,,-55.62,-57.63,(0-500),4.53,0.56,discordant
0336,Globigerina bulloides,,-55.62,-57.63,(0-500),4.53,0.56,
0337,Globigerina bulloides,,-55.62,-57.63,(0-500),4.53,0.56,
0338,Globigerina bulloides,,-56.03,-56.94,(0-500),4.02,0.66,
