Sample,Ref,d18Osw,sd18Osw,T,sT
0263,Mohtadi et al. (2011),0.09,0.12,14.96,7.25
0264,Mohtadi et al. (2011),0.09,0.12,14.96,7.25
0265,Mohtadi et al. (2011),0.09,0.12,14.96,7.25
0266,Mohtadi et al. (2011),0.11,0.11,15.05,6.50
0267,Mohtadi et al. (2011),0.14,0.10,15.18,6.48
0268,Mohtadi et al. (2011),0.14,0.11,15.16,6.44
0269,Mohtadi et al. (2011),0.14,0.11,15.16,6.44
0270,Mohtadi et al. (2011),0.14,0.11,15.16,6.44
0271,Mohtadi et al. (2011),0.14,0.11,15.16,6.44
0272,Mohtadi et al. (2011),0.14,0.11,15.16,6.44
0273,Mohtadi et al. (2011),0.20,0.10,15.86,6.40
0274,Mohtadi et al. (2011),0.20,0.10,15.86,6.40
0275,Mohtadi et al. (2011),0.11,0.13,15.85,7.20
0276,Vazquez Riverios et al 2016,0.14,0.10,10.63,1.20
0277,Mohtadi et al. (2011),0.11,0.13,15.94,7.13
0278,Cleroux et al 2008,0.70,0.11,13.75,1.71
0279,Vazquez Riverios et al 2016,0.03,0.10,8.76,1.10
0280,Vazquez Riverios et al 2016,-0.20,0.13,4.98,1.43
0281,Vazquez Riverios et al 2016,0.05,0.10,9.13,1.14
0282,Vazquez Riverios et al 2016,-0.18,0.10,4.32,1.44
0283,Vazquez Riverios et al 2016,-0.04,0.12,7.82,1.17
0284,Vazquez Riverios et al 2016,-0.27,0.13,3.07,1.12
0285,Vazquez Riverios et al 2016,-0.27,0.13,3.07,1.12
0286,Vazquez Riverios et al 2016,-0.19,0.10,2.58,1.19
0287,Vazquez Riverios et al 2016,-0.20,0.11,0.22,1.17
0288,Cleroux et al 2008,0.61,0.10,10.41,1.63
0289,Cleroux et al 2008,0.32,0.13,9.56,1.21
0290,Cleroux et al 2008,0.39,0.13,9.90,1.19
0291,Cleroux et al 2008,0.39,0.12,9.64,1.17
0292,Cleroux et al 2008,0.37,0.10,8.67,1.20
0293,Cleroux et al 2008,0.20,0.13,7.04,1.72
0294,Cleroux et al 2008,0.19,0.13,6.55,1.78
0295,Cleroux et al 2008,0.67,0.11,13.05,1.60
0296,Cleroux et al 2008,0.71,0.11,13.67,1.87
0297,Waelbroeck et al (2005),0.83,0.11,14.75,2.58
0298,Waelbroeck et al (2005),0.79,0.12,15.41,2.79
0299,Waelbroeck et al (2005),0.38,0.10,5.59,1.33
0300,Waelbroeck et al (2005),-0.19,0.10,4.89,1.51
0301,Waelbroeck et al (2005),-0.19,0.10,4.89,1.51
0302,Waelbroeck et al (2005),-0.19,0.10,4.89,1.51
0303,Waelbroeck et al (2005),-0.19,0.10,4.89,1.51
0304,Waelbroeck et al (2005),-0.24,0.13,2.74,1.13
0305,Waelbroeck et al (2005),-0.24,0.13,2.74,1.13
0306,Waelbroeck et al (2005),-0.24,0.13,2.74,1.13
0307,Waelbroeck et al (2005),-0.24,0.13,2.74,1.13
0308,Waelbroeck et al (2005),-0.22,0.13,4.13,1.37
0309,Waelbroeck et al (2005),-0.22,0.13,4.13,1.37
0310,Waelbroeck et al (2005),-0.22,0.13,4.13,1.37
0311,Waelbroeck et al (2005),-0.22,0.13,4.13,1.37
0312,Waelbroeck et al (2005),-0.21,0.13,4.87,1.54
0313,Waelbroeck et al (2005),-0.21,0.13,4.87,1.54
0314,Waelbroeck et al (2005),-0.21,0.13,4.87,1.54
0315,Waelbroeck et al (2005),-0.16,0.12,5.78,1.69
0316,Waelbroeck et al (2005),-0.16,0.12,5.78,1.69
0317,Waelbroeck et al (2005),-0.19,0.10,4.89,1.51
0318,Waelbroeck et al (2005),-0.16,0.12,5.78,1.69
0319,Waelbroeck et al (2005),-0.19,0.10,2.13,1.09
0320,Waelbroeck et al (2005),-0.19,0.10,3.74,1.11
0321,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0322,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0323,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0324,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0325,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0326,Waelbroeck et al (2005),-0.18,0.10,4.99,1.11
0327,Waelbroeck et al (2005),-0.18,0.10,4.99,1.11
0328,Waelbroeck et al (2005),-0.18,0.10,4.99,1.11
0329,Waelbroeck et al (2005),-0.18,0.10,4.99,1.11
0330,Waelbroeck et al (2005),-0.18,0.10,4.99,1.11
0331,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0332,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0333,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0334,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0335,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0336,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0337,Waelbroeck et al (2005),-0.18,0.10,4.73,1.11
0338,Waelbroeck et al (2005),-0.19,0.10,3.74,1.11
0339,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0340,Waelbroeck et al (2005),-0.16,0.12,5.78,1.69
0341,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0342,Waelbroeck et al (2005),0.02,0.12,8.77,2.08
0343,Waelbroeck et al (2005),0.02,0.12,8.77,2.08
0344,Waelbroeck et al (2005),0.02,0.12,8.77,2.08
0345,Waelbroeck et al (2005),0.02,0.12,8.77,2.08
0346,Waelbroeck et al (2005),-0.24,0.13,3.31,1.22
0347,Waelbroeck et al (2005),-0.24,0.13,3.31,1.22
0348,Waelbroeck et al (2005),-0.24,0.13,3.31,1.22
0349,Waelbroeck et al (2005),-0.24,0.13,3.31,1.22
0350,Waelbroeck et al (2005),-0.24,0.13,3.31,1.22
0351,Waelbroeck et al (2005),-0.23,0.13,2.17,1.09
0352,Waelbroeck et al (2005),-0.23,0.13,2.17,1.09
0353,Waelbroeck et al (2005),-0.23,0.13,1.69,1.08
0354,Waelbroeck et al (2005),-0.23,0.13,1.69,1.08
0355,Waelbroeck et al (2005),-0.23,0.13,1.69,1.08
0356,Waelbroeck et al (2005),-0.24,0.13,2.90,1.14
0357,Waelbroeck et al (2005),-0.24,0.13,2.90,1.14
0358,Waelbroeck et al (2005),-0.24,0.13,2.90,1.14
0359,Waelbroeck et al (2005),0.02,0.12,8.77,2.08
0360,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0361,Waelbroeck et al (2005),0.33,0.18,12.56,3.85
0362,Waelbroeck et al (2005),0.33,0.18,12.56,3.85
0363,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0364,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0365,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0366,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0367,Waelbroeck et al (2005),-0.11,0.12,6.67,1.85
0368,Waelbroeck et al (2005),-0.03,0.12,8.12,1.97
0369,Waelbroeck et al (2005),0.27,0.14,12.72,3.17
0370,Waelbroeck et al (2005),0.27,0.14,12.72,3.17
0371,Waelbroeck et al (2005),0.27,0.15,12.12,3.22
0372,Waelbroeck et al (2005),0.27,0.15,12.12,3.22
0373,Waelbroeck et al (2005),0.27,0.15,12.12,3.22
0374,Waelbroeck et al (2005),0.27,0.15,12.12,3.22
0375,Waelbroeck et al (2005),0.27,0.15,12.12,3.22
0376,Waelbroeck et al (2005),0.27,0.15,11.98,3.13
0377,Waelbroeck et al (2005),0.27,0.15,11.98,3.13
0378,Waelbroeck et al (2005),0.27,0.15,11.98,3.13
0379,Waelbroeck et al (2005),0.33,0.18,12.56,3.85
0380,Waelbroeck et al (2005),0.33,0.18,12.56,3.85
0381,Waelbroeck et al (2005),-0.24,0.13,2.90,1.14
0382,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0383,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0384,Waelbroeck et al (2005),0.29,0.13,8.57,1.13
0385,Waelbroeck et al (2005),0.94,0.13,14.16,2.17
0386,Waelbroeck et al (2005),1.52,0.14,15.51,1.58
0387,Waelbroeck et al (2005),0.06,0.11,10.11,2.37
0388,Waelbroeck et al (2005),0.35,0.10,6.99,1.34
0389,Waelbroeck et al (2005),0.31,0.12,13.69,2.42
0390,Waelbroeck et al (2005),0.31,0.12,13.69,2.42
0391,Waelbroeck et al (2005),0.31,0.12,13.69,2.42
0392,Waelbroeck et al (2005),0.31,0.12,13.69,2.42
0393,Waelbroeck et al (2005),-0.19,0.11,4.62,1.65
0394,Waelbroeck et al (2005),-0.19,0.11,4.62,1.65
0395,Waelbroeck et al (2005),-0.19,0.11,4.62,1.65
0396,Waelbroeck et al (2005),0.04,0.12,8.82,2.24
0397,Waelbroeck et al (2005),0.04,0.12,8.82,2.24
0398,Waelbroeck et al (2005),0.04,0.12,8.82,2.24
0399,Waelbroeck et al (2005),0.04,0.12,8.82,2.24
0400,Waelbroeck et al (2005),0.03,0.12,8.81,2.20
0401,Waelbroeck et al (2005),0.94,0.13,13.98,2.08
0402,Waelbroeck et al (2005),0.03,0.12,8.81,2.20
0403,Waelbroeck et al (2005),1.38,0.15,13.28,2.39
0404,Waelbroeck et al (2005),0.90,0.13,14.04,2.14
0405,Waelbroeck et al (2005),0.94,0.13,14.16,2.17
0406,Waelbroeck et al (2005),0.39,0.12,9.64,1.17
0407,Waelbroeck et al (2005),-0.04,0.10,8.08,1.56
0408,Waelbroeck et al (2005),0.26,0.13,8.51,1.20
0409,Waelbroeck et al (2005),1.52,0.14,15.51,1.58
0410,Waelbroeck et al (2005),0.79,0.12,14.99,2.60
0411,Waelbroeck et al (2005),0.80,0.11,15.21,2.51
0412,Waelbroeck et al (2005),0.18,0.13,6.18,1.78
0413,Waelbroeck et al (2005),0.39,0.13,9.90,1.19
0414,Waelbroeck et al (2005),0.55,0.14,11.91,2.55
0415,Waelbroeck et al (2005),0.45,0.11,10.58,1.33
0416,Waelbroeck et al (2005),-0.02,0.11,9.99,1.38
0417,Waelbroeck et al (2005),-0.04,0.12,8.80,1.18
0418,Waelbroeck et al (2005),1.62,0.11,16.57,1.62
0419,Waelbroeck et al (2005),1.60,0.11,16.05,1.60
0420,Waelbroeck et al (2005),0.01,0.12,9.08,2.16
0421,Waelbroeck et al (2005),0.13,0.12,12.24,3.82
0422,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0423,Waelbroeck et al (2005),-0.19,0.10,5.17,1.16
0424,Waelbroeck et al (2005),0.03,0.12,8.81,2.20
0425,Waelbroeck et al (2005),-0.02,0.12,8.15,2.13
0426,Waelbroeck et al (2005),-0.21,0.12,4.70,1.60
0427,Waelbroeck et al (2005),-0.21,0.12,4.70,1.60
0428,Waelbroeck et al (2005),-0.21,0.12,4.70,1.60
